date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:13	1307/1307	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB22FFB3969ED%22	https://www.navyfederal.org/content/dam/icons/two-tone/military-chk-wizard.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/icons/two-tone/military-chk-wizard.svg	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	78084/78084	------	200	untouched ('OK')	text/html	etag:W/%2213091-604e59582b8ff-gzip%22	https://www.navyfederal.org/checking-savings/checking/active-duty-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/active-duty-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	32784/32784	------	200	untouched ('')	application/pdf	etag:%220x8DB83E2F5C3E81F%22	https://www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401a_active_duty_checking.pdf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401a_active_duty_checking.pdf	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	403892/403892	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB22FC0A810D2%22	https://www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/money-bag-timer.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/money-bag-timer.svg	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	80036/80036	------	200	untouched ('OK')	text/html	etag:W/%2213831-604e5959c154c-gzip%22	https://www.navyfederal.org/checking-savings/checking/easy-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/easy-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	31035/31035	------	200	untouched ('')	application/pdf	etag:%220x8DB570D6C6FF253%22	https://www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401b_echecking.pdf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401b_echecking.pdf	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	3593/3593	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB230008C9CC4%22	https://www.navyfederal.org/content/dam/icons/two-tone/books.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/icons/two-tone/books.svg	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	79663/79663	------	200	untouched ('OK')	text/html	etag:W/%22136bc-604e595ce358c-gzip%22	https://www.navyfederal.org/checking-savings/checking/campus-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/campus-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	273/273	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:34:26%20GMT	https://www.navyfederal.org/loans-cards/auto-loans/auto-rates	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/loans-cards/auto-loans/auto-rates.137.delayed	(from https://www.navyfederal.org/loans-cards/auto-loans.html)
01:46:13	32299/32299	------	200	untouched ('')	application/pdf	etag:%220x8DB83E2F587361C%22	https://www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401e_campus_checking.pdf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401e_campus_checking.pdf	(from https://www.navyfederal.org/checking-savings/checking.html)
